Date,Jalali_Date,Description
2011-01-25,1389-11-05,Arbaeen
2011-02-04,1389-11-15,Martyrdom of Imam Reza
2011-02-11,1389-11-22,Islamic Revolution Day
2011-02-12,1389-11-23,Martyrdom of Imam Hassa Askari
2011-02-21,1389-12-02,Birthday of Muhammed
2011-03-20,1389-12-29,Oil Nationalization Day
2011-03-21,1390-01-01,Nowrouz
2011-03-22,1390-01-02,Nowrouz
2011-03-23,1390-01-03,Nowrouz
2011-03-24,1390-01-04,Nowrouz
2011-04-01,1390-01-12,Islamic Republic Day
2011-04-02,1390-01-13,Nature Day
2011-05-07,1390-02-17,Death of Fatima
2011-06-04,1390-03-14,Demise of Imam Khomeini
2011-06-05,1390-03-15,Khordad National Uprising
2011-06-16,1390-03-26,Birthday of Imam Ali
2011-06-30,1390-04-09,The Prophet's Ascension
2011-07-17,1390-04-26,Birthday of Imam Mahdi
2011-08-21,1390-05-30,Martyrdom of Imam Ali
2011-08-31,1390-06-09,Eid-e-Fitr
2011-09-01,1390-06-10,Eid-e-Fitr
2011-09-24,1390-07-02,Martyrdom of Imam Sadeq
2011-11-07,1390-08-16,Eid-e-Qorban
2011-11-15,1390-08-24,Eid-e-Ghadir
2011-12-05,1390-09-14,Tasoua
2011-12-06,1390-09-15,Ashoura
